RSU,Bound,Movement,x,y,x as UTC Time,x as PST Time,x as PDT Time,x as 12-Hr PST Time,x as 12-Hr PDT Time
7,NB,T,1658519913.392,129.29900002479553,2022-07-22 15:58:33.392000,2022-07-22 07:58:33.392000,2022-07-22 08:58:33.392000,2022-07-22 07:58:33.392000 AM,2022-07-22 08:58:33.392000 AM
7,NB,T,1658520043.392,130.0,2022-07-22 16:00:43.392000,2022-07-22 08:00:43.392000,2022-07-22 09:00:43.392000,2022-07-22 08:00:43.392000 AM,2022-07-22 09:00:43.392000 AM
7,SB,T,1658519913.392,129.29900002479553,2022-07-22 15:58:33.392000,2022-07-22 07:58:33.392000,2022-07-22 08:58:33.392000,2022-07-22 07:58:33.392000 AM,2022-07-22 08:58:33.392000 AM
7,SB,T,1658520043.392,130.0,2022-07-22 16:00:43.392000,2022-07-22 08:00:43.392000,2022-07-22 09:00:43.392000,2022-07-22 08:00:43.392000 AM,2022-07-22 09:00:43.392000 AM
7,EB,T,1658519842.994,159.30099987983704,2022-07-22 15:57:22.994000,2022-07-22 07:57:22.994000,2022-07-22 08:57:22.994000,2022-07-22 07:57:22.994000 AM,2022-07-22 08:57:22.994000 AM
7,EB,T,1658519943.992,260.29900002479553,2022-07-22 15:59:03.992000,2022-07-22 07:59:03.992000,2022-07-22 08:59:03.992000,2022-07-22 07:59:03.992000 AM,2022-07-22 08:59:03.992000 AM
7,EB,L,1658519807.4,123.70700001716614,2022-07-22 15:56:47.400000,2022-07-22 07:56:47.400000,2022-07-22 08:56:47.400000,2022-07-22 07:56:47.400000 AM,2022-07-22 08:56:47.400000 AM
7,EB,L,1658519943.992,260.29900002479553,2022-07-22 15:59:03.992000,2022-07-22 07:59:03.992000,2022-07-22 08:59:03.992000,2022-07-22 07:59:03.992000 AM,2022-07-22 08:59:03.992000 AM
2,EB,T,1658519896.398,769.2699999809265,2022-07-22 15:58:16.398000,2022-07-22 07:58:16.398000,2022-07-22 08:58:16.398000,2022-07-22 07:58:16.398000 AM,2022-07-22 08:58:16.398000 AM
2,EB,T,1658519956.467,829.3389999866486,2022-07-22 15:59:16.467000,2022-07-22 07:59:16.467000,2022-07-22 08:59:16.467000,2022-07-22 07:59:16.467000 AM,2022-07-22 08:59:16.467000 AM
5,NB,L,1658519715.58,127.49699997901917,2022-07-22 15:55:15.580000,2022-07-22 07:55:15.580000,2022-07-22 08:55:15.580000,2022-07-22 07:55:15.580000 AM,2022-07-22 08:55:15.580000 AM
5,NB,L,1658519841.381,125.80100011825562,2022-07-22 15:57:21.381000,2022-07-22 07:57:21.381000,2022-07-22 08:57:21.381000,2022-07-22 07:57:21.381000 AM,2022-07-22 08:57:21.381000 AM
7,WB,T,1658519566.092,270.90000009536743,2022-07-22 15:52:46.092000,2022-07-22 07:52:46.092000,2022-07-22 08:52:46.092000,2022-07-22 07:52:46.092000 AM,2022-07-22 08:52:46.092000 AM
7,WB,T,1658519842.994,276.90199995040894,2022-07-22 15:57:22.994000,2022-07-22 07:57:22.994000,2022-07-22 08:57:22.994000,2022-07-22 07:57:22.994000 AM,2022-07-22 08:57:22.994000 AM
1,WB,T,1658519830.617,137.89800000190735,2022-07-22 15:57:10.617000,2022-07-22 07:57:10.617000,2022-07-22 08:57:10.617000,2022-07-22 07:57:10.617000 AM,2022-07-22 08:57:10.617000 AM
1,WB,T,1658519949.119,118.5019998550415,2022-07-22 15:59:09.119000,2022-07-22 07:59:09.119000,2022-07-22 08:59:09.119000,2022-07-22 07:59:09.119000 AM,2022-07-22 08:59:09.119000 AM
5,EB,T,1658519824.381,124.79900002479553,2022-07-22 15:57:04.381000,2022-07-22 07:57:04.381000,2022-07-22 08:57:04.381000,2022-07-22 07:57:04.381000 AM,2022-07-22 08:57:04.381000 AM
5,EB,T,1658519966.284,141.9029998779297,2022-07-22 15:59:26.284000,2022-07-22 07:59:26.284000,2022-07-22 08:59:26.284000,2022-07-22 07:59:26.284000 AM,2022-07-22 08:59:26.284000 AM
7,NB,L,1658519862.891,167.40000009536743,2022-07-22 15:57:42.891000,2022-07-22 07:57:42.891000,2022-07-22 08:57:42.891000,2022-07-22 07:57:42.891000 AM,2022-07-22 08:57:42.891000 AM
7,NB,L,1658519966.49,103.59899997711182,2022-07-22 15:59:26.490000,2022-07-22 07:59:26.490000,2022-07-22 08:59:26.490000,2022-07-22 07:59:26.490000 AM,2022-07-22 08:59:26.490000 AM
